time,upload,download
488,0.9625,0.757031
489,0.9625,0.757031
490,0.9625,0.757031
491,0.0462891,0.0462891
492,0.0462891,0.0462891
493,0.425781,0.0333984
494,0.510742,0.308008
495,0.510742,0.308008
496,0.510742,0.308008
497,0.510742,0.308008
498,0.510742,0.308008
499,0.0333984,0.0333984
500,0.0333984,0.0333984
501,0.0333984,0.0333984
502,0.478711,0.321875
503,0.810547,0.588086
504,1.21738,0.795898
505,1.43047,1.05195
506,1.43047,1.05195
507,1.43047,1.05195
508,1.43047,1.05195
509,1.43047,1.05195
510,1.43047,1.05195
511,0.0333984,0.0333984
512,0.0333984,0.0333984
513,0.0333984,0.0333984
514,0.475781,0.289648
515,0.488672,0.302539
516,0.488672,0.302539
517,0.488672,0.302539
518,0.488672,0.302539
519,0.0462891,0.0462891
520,0.0462891,0.0462891
521,0.0462891,0.0462891
522,0.470898,0.325977
523,0.776758,0.608789
524,1.19023,0.832812
525,1.37656,0.832812
526,1.40996,1.0332
527,1.40996,1.0332
528,1.40996,1.0332
529,1.40996,1.0332
530,1.40996,1.0332
531,0.0333984,0.0333984
532,0.0333984,0.0333984
533,0.0333984,0.0333984
534,0.469922,0.300977
535,0.469922,0.300977
536,0.469922,0.300977
537,0.469922,0.300977
538,0.469922,0.300977
539,0.0333984,0.0333984
540,0.0333984,0.0333984
541,0.0333984,0.0333984
542,0.411328,0.0462891
543,0.781445,1.5209
544,1.2375,1.77813
545,1.2375,1.77813
546,1.45098,2.02148
547,1.45098,2.02148
548,1.45098,2.02148
549,1.45098,2.02148
550,1.45098,2.02148
551,0.0333984,0.0333984
552,0.0333984,0.0333984
553,0.0333984,0.0333984
554,0.470508,0.289453
555,0.470508,0.289453
556,0.470508,0.289453
557,0.470508,0.289453
558,0.470508,0.289453
559,0.0333984,0.0333984
560,0.0333984,0.0333984
561,0.0333984,0.0333984
562,0.452734,1.40488
563,1.13613,1.73164
564,1.62422,2.67871
565,1.62422,2.67871
566,1.8373,2.94609
567,1.8373,2.94609
568,1.8373,2.94609
569,1.8373,2.94609
570,1.8373,2.94609
571,0.0462891,0.0462891
572,0.0462891,0.0462891
573,0.0462891,0.0462891
574,0.481445,0.257031
575,0.481445,0.257031
576,0.481445,0.257031
577,0.481445,0.257031
578,1.3666,0.835156
579,1.3666,0.835156
580,1.29668,0.891602
581,1.34238,1.12305
582,1.54512,8.23652
583,2.24414,16.1705
584,3.54688,22.7852
585,3.51055,29.4904
586,3.29531,31.1627
587,3.52813,31.1932
588,3.19863,33.1367
589,3.30059,34.2457
590,3.16621,33.1484
591,3.83711,39.9244
592,2.33379,30.5014
593,2.35664,31.0693
594,2.32363,31.5986
595,1.88906,32.5289
596,2.38027,39.6543
597,1.72949,32.516
598,1.775,33.3164
599,2.2502,31.9094
600,2.0291,31.9223
601,2.16934,32.2633
602,1.68496,31.3838
603,1.22676,31.9131
604,1.47168,31.5904
605,1.31777,31.5205
606,1.26621,32.116
607,1.12168,31.8191
608,1.03926,32.6711
609,1.45605,40.9453
610,1.41504,32.9809
611,2.27852,33.2906
612,2.42656,32.7871
613,2.21758,31.8779
614,3.47539,29.5016
615,6.25938,32.5117
616,5.93066,24.5223
617,6.14766,24.9914
618,6.66387,27.9471
619,5.1127,22.2822
620,5.1127,22.2822
621,1.02598,11.701
622,1.02598,11.701
623,1.02598,11.701
624,0.0925781,0.0667969
625,0.521289,0.392383
626,1.24336,0.714453
627,1.28965,0.80293
628,1.28965,0.80293
629,1.28965,0.80293
630,0.449414,0.474023
631,0.475195,0.515039
632,0.475195,0.515039
633,0.475195,0.515039
634,0.475195,0.515039
635,0.265625,0.27832
636,0.800781,0.548828
637,0.94375,0.672656
638,1.42891,2.12871
639,1.42891,2.12871
640,1.42891,2.12871
641,1.42891,2.12871
642,0.0333984,0.0205078
643,0.0667969,0.0539063
644,1.42207,5.35137
645,1.54277,7.83691
646,2.33828,8.3332
647,2.34355,8.35898
648,1.18027,3.89297
649,1.18027,3.90586
650,1.11113,0.812305
651,0.328516,0.341797
652,0.328516,0.341797
653,0.328516,0.341797
654,0.289844,0.290234
655,0.452344,0.0333984
656,0.498633,0.688867
657,0.980664,0.944727
658,1.18164,0.944727
659,1.70625,3.525
660,2.12969,11.2203
661,1.71719,14.6373
662,2.07344,15.2064
663,2.18281,15.5049
664,1.88848,13.7658
665,1.56719,8.01621
666,1.39375,13.9643
667,2.37227,14.568
668,2.3875,14.5131
669,2.3875,14.5131
670,1.71328,7.86758
