time,ping
1495,58.4
1496,57
1497,57.2
1498,71
1499,79.2
1500,58.4
1501,111
1502,57.9
1503,105
1504,61.9
1505,39.8
1506,53.3
1507,54
1508,52.5
1509,84.9
1510,46.9
1511,100
1512,85.1
1513,60.5
1514,127
1515,103
1516,83.4
1517,98.3
1518,67.3
1519,45.2
1520,132
1521,66
1522,47.7
1523,69.6
1524,52.3
1525,122
1526,85.6
1527,108
1528,88.3
1529,57.3
1530,511
1531,106
1532,115
1533,140
1534,148
1535,140
1536,529
1537,311
1538,170
1539,179
1540,172
1541,332
1542,241
1543,245
1544,226
1545,176
1546,116
1547,140
1548,121
1549,132
1550,601
1551,220
1552,164
1553,120
1554,96
1555,101
1556,69.1
1557,44.7
1558,77.3
1559,46
1560,52.2
1561,60.8
1562,43.9
1563,58
1564,53
1565,46.7
1566,53.5
1567,57.4
1568,98.2
1569,118
1570,50.9
1571,103
1572,143
1573,82.9
1574,91.6
1575,123
1576,111
1577,116
1578,83.7
1579,116
1580,170
1581,95.1
1582,102
1583,82.4
1584,142
1585,134
1586,139
1587,130
1588,104
1589,127
1590,211
1591,282
1592,455
1593,114
1594,103
1595,162
1596,179
1597,139
1598,126
1599,97.9
1600,130
1601,49.8
1602,49.7
1603,57.1
1604,53.7
1605,40.9
1606,68.5
1607,47.9
1608,57.7
1609,97.7
1610,111
1611,48.4
1612,90.6
1613,82.1
1614,100
1615,114
1616,158
1617,96.9
1618,129
1619,152
1620,184
1621,184
1622,117
1623,144
1624,121
1625,84.7
1626,113
1627,112
1628,95.8
1629,59.9
1630,164
1631,140
1632,88
1633,68.7
1634,88.1
1635,73.4
1636,96.3
1637,80.4
1638,92.7
1639,79.8
1640,151
1641,147
1642,142
1643,90.1
1644,81.4
1645,99.1
1646,115
1647,116
1648,70.3
1649,46.1
1650,94.5
1651,46.1
1652,45.7
1653,55.7
1654,51.7
1655,134
1656,41.7
1657,40.4
1658,58.9
1659,71.8
1660,77.2
1661,86.9
1662,53.2
1663,58.8
1664,67.7
1665,130
1666,76.6
1667,40.6
1668,60.5
1669,105
1670,278
1671,114
1672,77.6
1673,51.6
1674,56.3
1675,80.4
1676,50.9
1677,50.8
1678,53.8
1679,53.9
1680,82.9
1681,54.6
1682,109
1683,85.1
1684,42.4
1685,85.3
1686,52.4
1687,72.4
1688,77.4
1689,101
1690,51.4
1691,56.3
1692,47.8
1693,51.8
1694,50.4
1695,101
1696,45.4
1697,73.9
1698,44.2
1699,49.2
1700,75.7
1701,43.5
1702,62.1
1703,66.7
1704,72.9
1705,79.8
1706,94.6
1707,41.4
1708,60.8
1709,58
1710,106
1711,94.9
1712,125
1713,84.9
1714,97
1715,92.9
1716,88.9
1717,109
1718,78.4
1719,43.8
1720,137
